ctm_planned_pairing: Were you planning to have your snacks with any of the following?,it_respondent net relative
With coffee,43.04%
On their own,22.43%
With tea,20.21%
With milk,17.12%
"With a chilled beverage (juice, tea, soda)",16.57%
With yoghurt,6.11%
With fruit,2.89%
As part of a recipe,2.62%
"Something else, not listed here",2.09%
