Touchpoint,Phase,Channel,aus_absolute,aus_respondent%,aus_importance_avg,aus_max_norm_resp%,aus_max_nor_imp_avg,aus_index,aus_dfm_by_chnl,fr_absolute,fr_respondent%,fr_importance_avg,fr_max_norm_resp%,fr_max_nor_imp_avg,fr_index,fr_dfm_by_chnl,au_absolute,au_respondent%,au_importance_avg,au_max_norm_resp%,au_max_nor_imp_avg,au_index,au_dfm_by_chnl,de_absolute,de_respondent%,de_importance_avg,de_max_norm_resp%,de_max_nor_imp_avg,de_index,de_dfm_by_chnl,gr_absolute,gr_respondent%,gr_importance_avg,gr_max_norm_resp%,gr_max_nor_imp_avg,gr_index,gr_dfm_by_chnl,ch_absolute,ch_respondent%,ch_importance_avg,ch_max_norm_resp%,ch_max_nor_imp_avg,ch_index,ch_dfm_by_chnl,us_absolute,usa_respondent%,us_importance_avg,us_max_norm_resp%,us_max_nor_imp_avg,us_index,us_dfm_by_chnl,all_avge_index
Sponsorship,Consideration,OD,57,0.040,2.4,0.08,0.80,0.441,0.002,82,0.049,2.8,0.09,0.90,0.496,0.013,57,0.040,2.4,0.08,0.80,0.441,0.002,36,0.019,2.2,0.04,0.73,0.385,-0.071,53,0.032,2.7,0.04,0.79,0.419,-0.039,52,0.049,2.1,0.13,0.70,0.414,-0.070,73,0.044,2.6,0.08,0.81,0.445,0.021,0.434
Tv advert,Consideration,O,126,0.089,2.6,0.18,0.87,0.524,0.003,162,0.097,2.4,0.18,0.77,0.475,-0.039,126,0.089,2.6,0.18,0.87,0.524,0.003,188,0.101,2.3,0.19,0.77,0.478,-0.041,240,0.144,2.7,0.20,0.79,0.497,-0.015,128,0.121,2.3,0.31,0.77,0.540,-0.009,153,0.093,2.4,0.16,0.75,0.456,-0.076,0.499
Video sharing platform,Consideration,D,75,0.053,3,0.11,1.00,0.554,-0.012,56,0.034,3,0.06,0.97,0.514,-0.024,75,0.053,3,0.11,1.00,0.554,-0.012,65,0.035,2.8,0.07,0.93,0.499,-0.034,47,0.028,2.8,0.04,0.82,0.431,-0.087,32,0.030,2.9,0.08,0.97,0.522,-0.074,78,0.047,2.8,0.08,0.88,0.479,-0.071,0.508
Aisle fin,Selection,O,60,0.031,2.9,0.04,0.85,0.447,-0.024,41,0.020,2.9,0.03,0.85,0.439,-0.040,60,0.031,2.9,0.04,0.85,0.447,-0.024,86,0.042,2.8,0.06,0.82,0.440,-0.025,97,0.050,3.3,0.06,0.89,0.478,-0.001,70,0.057,2.9,0.09,0.91,0.496,0.007,80,0.040,3,0.05,0.88,0.467,-0.024,0.459
Complementary goods aisle,Selection,O,240,0.126,3.2,0.17,0.94,0.553,0.082,177,0.087,3,0.11,0.88,0.497,0.018,240,0.126,3.2,0.17,0.94,0.553,0.082,204,0.099,3.1,0.13,0.91,0.522,0.058,163,0.084,3.2,0.11,0.86,0.486,0.007,161,0.130,3.1,0.20,0.97,0.584,0.094,370,0.184,3.4,0.24,1.00,0.619,0.129,0.545
Floor graphics,Selection,O,31,0.016,2.5,0.02,0.74,0.378,-0.093,17,0.008,2.8,0.01,0.82,0.417,-0.062,31,0.016,2.5,0.02,0.74,0.378,-0.093,25,0.012,1.9,0.02,0.56,0.287,-0.177,16,0.008,2.4,0.01,0.65,0.330,-0.150,12,0.010,2.6,0.01,0.81,0.414,-0.076,32,0.016,2.3,0.02,0.68,0.349,-0.142,0.365
Free standing display unit,Selection,O,153,0.080,2.6,0.11,0.76,0.435,-0.036,117,0.058,3,0.07,0.88,0.478,-0.001,153,0.080,2.6,0.11,0.76,0.435,-0.036,137,0.067,3.1,0.09,0.91,0.500,0.036,351,0.181,3.4,0.23,0.92,0.575,0.095,100,0.081,3,0.12,0.94,0.531,0.041,162,0.081,3,0.10,0.88,0.493,0.003,0.492
Friends/ family/ colleagues,Selection,OD,92,0.048,2.8,0.06,0.82,0.443,-0.214,48,0.024,3,0.03,0.88,0.456,-0.196,92,0.048,2.8,0.06,0.82,0.443,-0.214,88,0.043,3.1,0.06,0.91,0.484,-0.181,36,0.019,3.4,0.02,0.92,0.471,-0.238,62,0.050,3,0.08,0.94,0.507,-0.221,86,0.043,3.4,0.06,1.00,0.528,-0.174,0.476
Header board,Selection,O,87,0.046,2.8,0.06,0.82,0.442,-0.030,298,0.147,3,0.19,0.88,0.536,0.057,87,0.046,2.8,0.06,0.82,0.442,-0.030,60,0.029,3,0.04,0.88,0.461,-0.004,184,0.095,3.1,0.12,0.84,0.479,0.000,97,0.078,2.8,0.12,0.88,0.497,0.008,98,0.049,2.8,0.06,0.82,0.443,-0.047,0.471
In-store radio,Selection,O,19,0.010,2.1,0.01,0.62,0.315,-0.156,36,0.018,2.1,0.02,0.62,0.320,-0.159,19,0.010,2.1,0.01,0.62,0.315,-0.156,23,0.011,2.3,0.01,0.68,0.346,-0.118,81,0.042,2.9,0.05,0.78,0.418,-0.061,57,0.046,2.7,0.07,0.84,0.457,-0.032,21,0.010,2.7,0.01,0.79,0.404,-0.087,0.368
